	ensembl_gene_id	external_gene_id
467	ENSMUSG00000051412	Vamp7
468	ENSMUSG00000078192	Gm7290
469	ENSMUSG00000048469	Olfr564
470	ENSMUSG00000027787	Nmd3
471	ENSMUSG00000025402	Nab2
472	ENSMUSG00000021732	Fgf10
473	ENSMUSG00000084294	Gm13533
474	ENSMUSG00000086266	Igf2os
475	ENSMUSG00000036860	Mrpl55
476	ENSMUSG00000040254	Sema3d
477	ENSMUSG00000094799	AC125149.3
478	ENSMUSG00000073966	Olfr561
479	ENSMUSG00000021339	Mrs2
480	ENSMUSG00000070778	Rpl7a-ps8
481	ENSMUSG00000079794	AC125149.2
482	ENSMUSG00000079192	AC125149.1
483	ENSMUSG00000043366	Olfr78
484	ENSMUSG00000097411	B430218F22Rik
485	ENSMUSG00000040498	Igsf23
486	ENSMUSG00000095092	AC125149.4
487	ENSMUSG00000026857	Ntmt1
488	ENSMUSG00000036438	Calm2
489	ENSMUSG00000079800	A530040E14RIK
490	ENSMUSG00000000031	H19
491	ENSMUSG00000031756	Cenpn
492	ENSMUSG00000029621	Arpc1a
493	ENSMUSG00000066272	Olfr559
494	ENSMUSG00000059366	Olfr959
495	ENSMUSG00000021843	Ktn1
496	ENSMUSG00000094065	Gm21541
497	ENSMUSG00000078586	Gm11735
498	ENSMUSG00000021731	Mrps30
499	ENSMUSG00000085902	Gm12200
500	ENSMUSG00000095041	AC149090.1
501	ENSMUSG00000066273	Olfr33
502	ENSMUSG00000083314	Gm11742
503	ENSMUSG00000087080	Gm12199
504	ENSMUSG00000094759	Gm10487
505	ENSMUSG00000081318	Rpl36-ps1
506	ENSMUSG00000050853	Olfr958
507	ENSMUSG00000085564	Gm12198
508	ENSMUSG00000086826	Gm11739
509	ENSMUSG00000070423	Olfr558
510	ENSMUSG00000096543	Gm21966
511	ENSMUSG00000094070	Gm21728
512	ENSMUSG00000081311	Gm12197
513	ENSMUSG00000081929	Rps11-ps2
514	ENSMUSG00000081642	Gm13532
515	ENSMUSG00000087090	Nctc1
516	ENSMUSG00000079797	Gm21784
517	ENSMUSG00000082545	Gm12196
518	ENSMUSG00000083889	E530001F21Rik
519	ENSMUSG00000087064	Gm11721
520	ENSMUSG00000073967	Olfr557
521	ENSMUSG00000024687	Osbp
522	ENSMUSG00000053559	Smagp
523	ENSMUSG00000019368	Sec14l4
524	ENSMUSG00000095322	Olfr957
525	ENSMUSG00000087072	Recql5os1
526	ENSMUSG00000094019	Gm21889
527	ENSMUSG00000081096	Gm12691
528	ENSMUSG00000083812	Gm5054
529	ENSMUSG00000085192	Gm12195
530	ENSMUSG00000036557	1700011E24Rik
531	ENSMUSG00000082245	Gm6292
532	ENSMUSG00000040511	Pvr
533	ENSMUSG00000095013	Gm21920
534	ENSMUSG00000092536	Gm20501
535	ENSMUSG00000084130	Gm11704
536	ENSMUSG00000014633	Cmc2
537	ENSMUSG00000073968	Trim68
538	ENSMUSG00000096438	Gm20899
539	ENSMUSG00000083394	Gm11703
540	ENSMUSG00000003559	As3mt
541	ENSMUSG00000073787	Gm10575
542	ENSMUSG00000084338	Gm13531
543	ENSMUSG00000084277	Gm11702
544	ENSMUSG00000000346	Dazap2
545	ENSMUSG00000062649	Olfr44
546	ENSMUSG00000042063	Zfp386
547	ENSMUSG00000091749	Tspy-ps
548	ENSMUSG00000062760	1810041L15Rik
549	ENSMUSG00000084292	Gm13535
550	ENSMUSG00000091083	Gm4535
551	ENSMUSG00000073969	Olfr556
552	ENSMUSG00000095019	AC234645.1
553	ENSMUSG00000041718	Alg13
554	ENSMUSG00000073970	Olfr555
555	ENSMUSG00000086844	B230206H07Rik
556	ENSMUSG00000063176	Olfr955
557	ENSMUSG00000062376	2010012O05Rik
558	ENSMUSG00000095326	Gm21742
559	ENSMUSG00000054181	A930012O16Rik
560	ENSMUSG00000083396	Gm15542
561	ENSMUSG00000028261	Ndufaf4
562	ENSMUSG00000096850	Gm21748
563	ENSMUSG00000021439	Ctsq
564	ENSMUSG00000073971	Olfr554
565	ENSMUSG00000039145	Camk1d
566	ENSMUSG00000085354	Gm2044
567	ENSMUSG00000080812	Gm13526
568	ENSMUSG00000081445	Rpl23a-ps4
569	ENSMUSG00000096150	Ighv1-85
570	ENSMUSG00000029620	1700018F24Rik
571	ENSMUSG00000073972	Olfr553
572	ENSMUSG00000094745	Olfr954
573	ENSMUSG00000086396	4930555B11Rik
574	ENSMUSG00000031758	Cdyl2
575	ENSMUSG00000047434	Xxylt1
576	ENSMUSG00000084302	Gm12194
577	ENSMUSG00000073973	Olfr552
578	ENSMUSG00000074783	AU019990
579	ENSMUSG00000086742	Gm16201
580	ENSMUSG00000094940	Ighv1-84
581	ENSMUSG00000084938	BB557941
582	ENSMUSG00000031443	F7
583	ENSMUSG00000021072	Tmx1
584	ENSMUSG00000096466	Ighv1-83
585	ENSMUSG00000056777	Rpl21-ps13
586	ENSMUSG00000096768	Erdr1
587	ENSMUSG00000082578	Gm13527
588	ENSMUSG00000073974	Olfr551
589	ENSMUSG00000082004	Gm13519
590	ENSMUSG00000049848	Ceacam19
591	ENSMUSG00000083626	Gm4459
592	ENSMUSG00000061707	Gm4871
593	ENSMUSG00000081934	Gm12193
594	ENSMUSG00000046546	Fam43a
595	ENSMUSG00000073975	Olfr550
596	ENSMUSG00000030243	Recql
597	ENSMUSG00000098199	Gm9358
598	ENSMUSG00000082142	Gm13518
599	ENSMUSG00000081570	Gm12192
600	ENSMUSG00000086379	1700026D11Rik
601	ENSMUSG00000083061	Gm12191
602	ENSMUSG00000049721	Gal3st1
603	ENSMUSG00000098031	Gm9341
604	ENSMUSG00000095134	Gm21857
605	ENSMUSG00000086250	Gm14095
606	ENSMUSG00000081791	Gm12190
607	ENSMUSG00000095392	Gm7350
608	ENSMUSG00000095366	Gm21860
609	ENSMUSG00000014686	Ceacam16
610	ENSMUSG00000050066	A130023I24Rik
611	ENSMUSG00000027345	4921508D12Rik
612	ENSMUSG00000096178	Gm20837
613	ENSMUSG00000026676	Ccdc3
614	ENSMUSG00000095127	Ighv1-82
615	ENSMUSG00000087377	AV099323
616	ENSMUSG00000081431	Gm15483
617	ENSMUSG00000095099	Gm21803
618	ENSMUSG00000029062	Cdk11b
619	ENSMUSG00000033740	St18
620	ENSMUSG00000030966	Trim21
621	ENSMUSG00000085663	Gm15718
622	ENSMUSG00000069890	1700024J04Rik
